Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
309.16,1.0,38.924,0.025691,6.4273,8.9964,206.2,21.125,29.479,334.63,0.25002,21.155,0.027202,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.019829466587348802,0.3493976
309.16,2.365,92.122,0.010855,6.4191,8.9863,199.02,21.135,29.542,334.67,0.24936,21.183,0.027262,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.04689668847907992,0.147628
309.16,3.73,145.4,0.0068778,6.4108,8.9763,195.2,21.145,29.605,334.71,0.24869,21.212,0.027322,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.07396391037081103,0.09353808
309.16,5.095,198.74,0.0050316,6.4026,8.9662,192.58,21.155,29.669,334.76,0.24802,21.241,0.027382,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.10103113226254214,0.06842975999999999
309.16,6.46,252.17,0.0039656,6.3944,8.9562,190.58,21.165,29.732,334.8,0.24734,21.27,0.027442,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.12809835415427326,0.05393215999999999
309.16,7.825,305.67,0.0032715,6.3861,8.9461,188.96,21.174,29.796,334.85,0.24666,21.3,0.027502,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.15516557604600437,0.0444924
309.16,9.19,359.24,0.0027837,6.3779,8.9361,187.6,21.184,29.861,334.91,0.24598,21.329,0.027562,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.18223279793773547,0.03785832
309.16,10.555,412.88,0.002422,6.3697,8.9261,186.42,21.194,29.925,334.96,0.24529,21.358,0.027623,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.20930001982946658,0.0329392
309.16,11.92,466.6,0.0021432,6.3614,8.9161,185.38,21.204,29.989,335.02,0.24459,21.387,0.027683,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.2363672417211977,0.02914752
309.16,13.285,520.39,0.0019216,6.3532,8.9061,184.45,21.213,30.054,335.08,0.24389,21.417,0.027744,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.2634344636129288,0.02613376
309.16,14.65,574.25,0.0017414,6.3449,8.8961,183.61,21.223,30.119,335.14,0.24319,21.446,0.027804,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.29050168550465993,0.02368304
309.16,16.015,628.18,0.0015919,6.3366,8.8861,182.85,21.233,30.184,335.21,0.24248,21.476,0.027865,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.31756890739639104,0.02164984
309.16,17.38,682.19,0.0014659,6.3284,8.8761,182.14,21.242,30.249,335.28,0.24177,21.505,0.027926,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.34463612928812215,0.01993624
309.16,18.745,736.26,0.0013582,6.3201,8.8661,181.49,21.252,30.314,335.35,0.24105,21.535,0.027987,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.37170335117985326,0.018471519999999998
309.16,20.11,790.4,0.0012652,6.3118,8.8561,180.87,21.262,30.379,335.42,0.24033,21.565,0.028048,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.39877057307158437,0.01720672
309.16,21.475,844.61,0.001184,6.3036,8.8462,180.3,21.271,30.445,335.5,0.23961,21.594,0.02811,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.42583779496331553,0.0161024
309.16,22.84,898.88,0.0011125,6.2953,8.8362,179.76,21.281,30.511,335.58,0.23888,21.624,0.028171,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.4529050168550466,0.01513
309.16,24.205,953.22,0.0010491,6.287,8.8263,179.25,21.29,30.577,335.66,0.23814,21.654,0.028232,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.4799722387467777,0.01426776
309.16,25.57,1007.6,0.00099243,6.2787,8.8163,178.77,21.3,30.643,335.75,0.23741,21.685,0.028294,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.5070394606385088,0.013497048000000001
309.16,26.935,1062.1,0.00094153,6.2704,8.8064,178.31,21.309,30.709,335.83,0.23666,21.715,0.028356,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.53410668253024,0.012804807999999999
309.16,28.3,1116.6,0.00089554,6.2621,8.7965,177.88,21.319,30.775,335.93,0.23592,21.745,0.028418,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.561173904421971,0.012179344
309.16,29.665,1171.2,0.00085379,6.2538,8.7866,177.46,21.328,30.841,336.02,0.23516,21.776,0.02848,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.5882411263137022,0.011611544
309.16,31.03,1225.9,0.00081572,6.2455,8.7767,177.06,21.338,30.908,336.12,0.23441,21.806,0.028542,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.6153083482054333,0.011093792
309.16,32.395,1280.6,0.00078086,6.2372,8.7668,176.67,21.347,30.975,336.21,0.23365,21.837,0.028605,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.6423755700971645,0.010619696
309.16,33.76,1335.4,0.00074883,6.2289,8.7569,176.3,21.357,31.041,336.32,0.23289,21.868,0.028667,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.6694427919888954,0.010184088
309.16,35.125,1390.3,0.00071929,6.2206,8.7471,175.95,21.366,31.108,336.42,0.23212,21.899,0.02873,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.6965100138806266,0.009782344
309.16,36.49,1445.2,0.00069196,6.2123,8.7372,175.6,21.375,31.175,336.53,0.23135,21.93,0.028793,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.7235772357723578,0.009410656
309.16,37.855,1500.1,0.00066661,6.2039,8.7274,175.27,21.385,31.242,336.64,0.23057,21.961,0.028856,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.7506444576640888,0.009065896
309.16,39.22,1555.2,0.00064302,6.1956,8.7176,174.95,21.394,31.31,336.75,0.22979,21.992,0.028919,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.7777116795558199,0.008745072
309.16,40.585,1610.2,0.00062103,6.1873,8.7077,174.64,21.403,31.377,336.87,0.22901,22.024,0.028982,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.804778901447551,0.008446008
309.16,41.95,1665.4,0.00060047,6.179,8.6979,174.34,21.413,31.444,336.99,0.22823,22.055,0.029046,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.8318461233392822,0.008166392
309.16,43.315,1720.6,0.00058121,6.1706,8.6881,174.05,21.422,31.512,337.11,0.22743,22.087,0.029109,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.8589133452310133,0.007904455999999999
309.16,44.68,1775.8,0.00056313,6.1623,8.6784,173.76,21.431,31.579,337.24,0.22664,22.119,0.029173,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.8859805671227444,0.007658568
309.16,46.045,1831.1,0.00054612,6.154,8.6686,173.49,21.44,31.647,337.37,0.22584,22.151,0.029237,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.9130477890144756,0.007427232
309.16,47.41,1886.4,0.0005301,6.1457,8.6589,173.22,21.449,31.715,337.5,0.22504,22.183,0.029301,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.9401150109062065,0.007209360000000001
309.16,48.775,1941.8,0.00051498,6.1373,8.6491,172.95,21.459,31.783,337.64,0.22424,22.216,0.029366,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.9671822327979377,0.007003727999999999
309.16,50.14,1997.3,0.00050068,6.129,8.6394,172.7,21.468,31.851,337.78,0.22343,22.248,0.02943,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,0.9942494546896689,0.0068092479999999995
309.16,51.505,2052.8,0.00048714,6.1207,8.6297,172.45,21.477,31.918,337.92,0.22262,22.281,0.029495,vapor,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.0213166765814,0.006625104
309.16,51.505,2052.8,0.00048714,6.1207,8.6297,172.45,21.477,31.918,337.92,0.22262,22.281,0.029495,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.0213166765814,0.006625104
309.16,51.505,2052.8,0.00048714,6.1207,8.6297,172.45,21.477,31.918,337.92,0.22262,22.281,0.029495,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.0213166765814,0.006625104
309.16,52.87,2108.3,0.00047431,6.1123,8.62,172.21,21.486,31.986,338.06,0.2218,22.314,0.02956,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.048383898473131,0.006450615999999999
309.16,54.235,2163.9,0.00046213,6.104,8.6103,171.97,21.495,32.055,338.21,0.22098,22.347,0.029625,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.0754511203648622,0.006284968
309.16,55.6,2219.5,0.00045054,6.0956,8.6007,171.74,21.504,32.123,338.36,0.22016,22.38,0.02969,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.1025183422565934,0.006127344
309.16,56.965,2275.2,0.00043952,6.0873,8.591,171.51,21.513,32.191,338.52,0.21934,22.413,0.029755,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.1295855641483246,0.005977471999999999
309.16,58.33,2330.9,0.00042901,6.079,8.5814,171.29,21.522,32.259,338.68,0.21851,22.447,0.029821,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.1566527860400555,0.005834536
309.16,59.695,2386.7,0.00041899,6.0706,8.5718,171.07,21.531,32.327,338.84,0.21768,22.481,0.029887,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.1837200079317867,0.005698264
309.16,61.06,2442.5,0.00040941,6.0623,8.5622,170.85,21.54,32.395,339.0,0.21685,22.515,0.029953,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.2107872298235178,0.0055679760000000005
309.16,62.425,2498.4,0.00040026,6.054,8.5526,170.64,21.549,32.464,339.17,0.21601,22.549,0.030019,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.2378544517152488,0.005443536
309.16,63.79,2554.3,0.0003915,6.0456,8.543,170.44,21.558,32.532,339.34,0.21517,22.583,0.030086,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.26492167360698,0.005324399999999999
309.16,65.155,2610.2,0.00038312,6.0373,8.5335,170.24,21.566,32.6,339.51,0.21433,22.618,0.030153,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.291988895498711,0.005210431999999999
309.16,66.52,2666.1,0.00037508,6.029,8.524,170.04,21.575,32.669,339.69,0.21348,22.652,0.030219,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.319056117390442,0.005101088
309.16,67.885,2722.1,0.00036736,6.0206,8.5144,169.84,21.584,32.737,339.87,0.21263,22.687,0.030287,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.3461233392821734,0.004996096
309.16,69.25,2778.2,0.00035995,6.0123,8.505,169.65,21.593,32.805,340.06,0.21178,22.722,0.030354,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.3731905611739044,0.00489532
309.16,70.615,2834.2,0.00035283,6.004,8.4955,169.46,21.601,32.874,340.24,0.21093,22.758,0.030421,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.4002577830656355,0.004798488
309.16,71.98,2890.3,0.00034598,5.9956,8.486,169.28,21.61,32.942,340.44,0.21007,22.793,0.030489,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.4273250049573667,0.004705328
309.16,73.345,2946.4,0.00033939,5.9873,8.4766,169.1,21.619,33.01,340.63,0.20921,22.829,0.030557,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.4543922268490976,0.004615704
309.16,74.71,3002.6,0.00033305,5.979,8.4672,168.92,21.627,33.079,340.83,0.20835,22.865,0.030625,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.4814594487408288,0.00452948
309.16,76.075,3058.8,0.00032693,5.9707,8.4578,168.74,21.636,33.147,341.03,0.20749,22.901,0.030694,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.50852667063256,0.004446248
309.16,77.44,3115.0,0.00032103,5.9623,8.4484,168.57,21.645,33.215,341.23,0.20662,22.938,0.030763,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.5355938925242911,0.004366007999999999
309.16,78.805,3171.2,0.00031534,5.954,8.439,168.4,21.653,33.283,341.44,0.20576,22.974,0.030832,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.5626611144160223,0.0042886239999999996
309.16,80.17,3227.5,0.00030984,5.9457,8.4297,168.23,21.662,33.351,341.65,0.20489,23.011,0.030901,supercritical,O2,C7782447,oxygen,154.58,50.43,13.6,0.07352941176470588,2.0,1.5897283363077535,0.004213824
