Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
638.78,1.0,18.831,0.053103,31.749,37.059,153.13,39.939,48.277,381.88,0.17298,29.326,0.044042,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.013550135501355014,0.5628917999999999
638.78,3.4583,65.15,0.015349,31.73,37.039,142.79,39.952,48.348,381.95,0.17231,29.353,0.044125,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.046860433604336046,0.1626994
638.78,5.9167,111.5,0.0089683,31.712,37.018,138.29,39.966,48.42,382.03,0.17163,29.38,0.044207,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.0801720867208672,0.09506397999999999
638.78,8.375,157.89,0.0063335,31.694,36.998,135.37,39.98,48.492,382.11,0.17096,29.407,0.044288,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.11348238482384825,0.06713509999999999
638.78,10.833,204.31,0.0048945,31.675,36.977,133.21,39.993,48.563,382.2,0.17029,29.435,0.044368,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.14678861788617886,0.0518817
638.78,13.292,250.76,0.0039879,31.657,36.957,131.48,40.007,48.635,382.29,0.16962,29.463,0.044449,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.18010840108401086,0.042271739999999995
638.78,15.75,297.24,0.0033643,31.638,36.937,130.04,40.02,48.707,382.38,0.16895,29.491,0.044528,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.21341463414634146,0.03566158
638.78,18.208,343.75,0.0029091,31.62,36.917,128.8,40.034,48.779,382.48,0.16828,29.519,0.044607,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.24672086720867206,0.030836459999999996
638.78,20.667,390.29,0.0025622,31.601,36.897,127.72,40.047,48.851,382.59,0.16761,29.547,0.044686,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.2800406504065041,0.02715932
638.78,23.125,436.85,0.0022891,31.583,36.876,126.76,40.061,48.923,382.7,0.16694,29.576,0.044764,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.3133468834688347,0.024264459999999998
638.78,25.583,483.44,0.0020685,31.564,36.856,125.89,40.074,48.996,382.81,0.16628,29.605,0.044842,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.3466531165311653,0.021926099999999997
638.78,28.042,530.06,0.0018866,31.546,36.836,125.1,40.088,49.068,382.93,0.16561,29.634,0.044919,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.37997289972899734,0.01999796
638.78,30.5,576.7,0.001734,31.528,36.816,124.37,40.101,49.14,383.05,0.16494,29.664,0.044996,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.41327913279132794,0.018380399999999998
638.78,32.958,623.36,0.0016042,31.509,36.797,123.7,40.115,49.212,383.18,0.16428,29.694,0.045072,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.44658536585365854,0.01700452
638.78,35.417,670.04,0.0014924,31.491,36.777,123.07,40.128,49.285,383.31,0.16362,29.724,0.045148,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.47990514905149056,0.01581944
638.78,37.875,716.74,0.0013952,31.473,36.757,122.49,40.141,49.357,383.45,0.16295,29.754,0.045224,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.5132113821138211,0.01478912
638.78,40.333,763.47,0.0013098,31.454,36.737,121.93,40.155,49.43,383.59,0.16229,29.785,0.0453,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.5465176151761517,0.01388388
638.78,42.792,810.21,0.0012343,31.436,36.717,121.41,40.168,49.502,383.73,0.16163,29.815,0.045375,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.5798373983739837,0.01308358
638.78,45.25,856.96,0.0011669,31.418,36.698,120.92,40.181,49.575,383.88,0.16096,29.846,0.04545,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.6131436314363143,0.012369139999999999
638.78,47.708,903.74,0.0011065,31.399,36.678,120.45,40.195,49.647,384.04,0.1603,29.878,0.045525,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.6464498644986449,0.0117289
638.78,50.167,950.53,0.001052,31.381,36.659,120.01,40.208,49.72,384.19,0.15964,29.909,0.0456,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.679769647696477,0.011151199999999998
638.78,52.625,997.33,0.0010027,31.363,36.639,119.58,40.221,49.792,384.36,0.15898,29.941,0.045674,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.7130758807588076,0.01062862
638.78,55.083,1044.1,0.00095772,31.344,36.62,119.18,40.234,49.865,384.52,0.15831,29.974,0.045748,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.7463821138211382,0.010151832
638.78,57.542,1091.0,0.00091661,31.326,36.6,118.78,40.248,49.937,384.69,0.15765,30.006,0.045823,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.7797018970189702,0.009716065999999999
638.78,60.0,1137.8,0.00087888,31.308,36.581,118.41,40.261,50.01,384.87,0.15699,30.039,0.045897,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.8130081300813008,0.009316127999999998
638.78,62.458,1184.7,0.00084413,31.29,36.562,118.05,40.274,50.082,385.05,0.15633,30.072,0.04597,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.8463143631436314,0.008947778
638.78,64.917,1231.5,0.00081201,31.271,36.543,117.7,40.287,50.155,385.23,0.15567,30.105,0.046044,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.8796341463414634,0.008607306
638.78,67.375,1278.4,0.00078224,31.253,36.523,117.36,40.3,50.227,385.42,0.155,30.139,0.046118,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.912940379403794,0.008291744
638.78,69.833,1325.2,0.00075458,31.235,36.504,117.04,40.313,50.3,385.61,0.15434,30.173,0.046192,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.9462466124661246,0.007998548
638.78,72.292,1372.1,0.0007288,31.217,36.485,116.72,40.326,50.372,385.8,0.15368,30.207,0.046265,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,0.9795663956639566,0.00772528
638.78,74.75,1419.0,0.00070472,31.198,36.466,116.42,40.339,50.445,386.0,0.15301,30.242,0.046339,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.0128726287262872,0.007470032
638.78,74.75,1419.0,0.00070472,31.198,36.466,116.42,40.339,50.445,386.0,0.15301,30.242,0.046339,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.0128726287262872,0.007470032
638.78,74.75,1419.0,0.00070472,31.198,36.466,116.42,40.339,50.445,386.0,0.15301,30.242,0.046339,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.0128726287262872,0.007470032
638.78,77.208,1465.9,0.00068218,31.18,36.447,116.12,40.352,50.517,386.21,0.15235,30.276,0.046413,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.0461788617886179,0.007231107999999999
638.78,79.667,1512.8,0.00066104,31.162,36.428,115.83,40.365,50.59,386.42,0.15169,30.312,0.046486,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.0794986449864499,0.007007024
638.78,82.125,1559.7,0.00064117,31.144,36.41,115.55,40.378,50.662,386.63,0.15102,30.347,0.04656,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.1128048780487805,0.006796402
638.78,84.583,1606.5,0.00062246,31.126,36.391,115.28,40.391,50.734,386.85,0.15036,30.383,0.046634,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.146111111111111,0.006598076
638.78,87.042,1653.4,0.0006048,31.108,36.372,115.01,40.403,50.806,387.07,0.14969,30.419,0.046708,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.179430894308943,0.006410879999999999
638.78,89.5,1700.3,0.00058813,31.09,36.353,114.75,40.416,50.878,387.29,0.14902,30.455,0.046782,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.2127371273712737,0.006234177999999999
638.78,91.958,1747.2,0.00057235,31.072,36.335,114.5,40.429,50.951,387.52,0.14836,30.492,0.046856,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.2460433604336043,0.00606691
638.78,94.417,1794.1,0.00055739,31.053,36.316,114.26,40.442,51.023,387.76,0.14769,30.529,0.04693,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.2793631436314363,0.005908333999999999
638.78,96.875,1840.9,0.0005432,31.035,36.298,114.01,40.454,51.095,387.99,0.14702,30.566,0.047004,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.312669376693767,0.00575792
638.78,99.333,1887.8,0.00052972,31.017,36.279,113.78,40.467,51.166,388.24,0.14635,30.604,0.047079,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.3459756097560975,0.005615032
638.78,101.79,1934.6,0.00051689,30.999,36.261,113.55,40.48,51.238,388.48,0.14568,30.642,0.047153,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.379268292682927,0.005479034
638.78,104.25,1981.5,0.00050467,30.981,36.243,113.32,40.492,51.31,388.73,0.14501,30.681,0.047228,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.4126016260162602,0.005349502
638.78,106.71,2028.3,0.00049302,30.963,36.224,113.1,40.505,51.381,388.99,0.14434,30.719,0.047303,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.4459349593495934,0.005226012
638.78,109.17,2075.1,0.00048189,30.945,36.206,112.89,40.517,51.453,389.25,0.14367,30.758,0.047378,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.4792682926829268,0.005108034
638.78,111.63,2122.0,0.00047126,30.928,36.188,112.68,40.53,51.524,389.51,0.143,30.798,0.047454,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.5126016260162602,0.004995355999999999
638.78,114.08,2168.8,0.00046109,30.91,36.17,112.47,40.542,51.596,389.78,0.14233,30.837,0.047529,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.54579945799458,0.004887554
638.78,116.54,2215.5,0.00045136,30.892,36.152,112.26,40.555,51.667,390.05,0.14165,30.877,0.047605,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.5791327913279134,0.004784416
638.78,119.0,2262.3,0.00044203,30.874,36.134,112.06,40.567,51.738,390.33,0.14098,30.918,0.047682,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.6124661246612466,0.004685518
638.78,121.46,2309.1,0.00043308,30.856,36.116,111.87,40.579,51.809,390.61,0.1403,30.958,0.047758,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.6457994579945798,0.004590648
638.78,123.92,2355.8,0.00042449,30.838,36.098,111.67,40.592,51.88,390.9,0.13963,31.0,0.047835,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.6791327913279133,0.004499594
638.78,126.38,2402.5,0.00041623,30.82,36.08,111.48,40.604,51.95,391.19,0.13895,31.041,0.047912,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,2.1,1.7124661246612467,0.004412038
