Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.0,1480.0,27066.0,3.6946e-05,6.924,12.392,36.199,42.603,69.127,1214.3,-0.029607,227.46,0.19439,liquid
300.0,1487.4,27085.0,3.6921e-05,6.9156,12.407,36.159,42.618,69.107,1216.4,-0.02966,228.11,0.19476,liquid
300.0,1494.7,27103.0,3.6896e-05,6.9072,12.422,36.119,42.634,69.088,1218.4,-0.029712,228.76,0.19512,liquid
300.0,1502.1,27121.0,3.6872e-05,6.8989,12.437,36.079,42.649,69.068,1220.5,-0.029763,229.41,0.19549,liquid
300.0,1509.4,27139.0,3.6847e-05,6.8907,12.452,36.039,42.664,69.049,1222.6,-0.029814,230.07,0.19585,liquid
300.0,1516.8,27157.0,3.6823e-05,6.8825,12.468,35.999,42.68,69.031,1224.6,-0.029864,230.72,0.19621,liquid
300.0,1524.1,27175.0,3.6798e-05,6.8743,12.483,35.959,42.695,69.012,1226.6,-0.029914,231.37,0.19657,liquid
300.0,1531.5,27193.0,3.6774e-05,6.8661,12.498,35.92,42.71,68.994,1228.7,-0.029963,232.02,0.19693,liquid
300.0,1538.8,27211.0,3.675e-05,6.858,12.513,35.881,42.726,68.976,1230.7,-0.030012,232.67,0.19729,liquid
300.0,1546.1,27229.0,3.6726e-05,6.8499,12.528,35.841,42.741,68.958,1232.7,-0.03006,233.32,0.19765,liquid
300.0,1553.5,27246.0,3.6702e-05,6.8419,12.544,35.802,42.757,68.94,1234.7,-0.030108,233.97,0.19801,liquid
300.0,1560.8,27264.0,3.6678e-05,6.8339,12.559,35.763,42.772,68.922,1236.7,-0.030155,234.62,0.19837,liquid
300.0,1568.2,27282.0,3.6655e-05,6.8259,12.574,35.724,42.787,68.905,1238.7,-0.030202,235.27,0.19873,liquid
300.0,1575.5,27299.0,3.6631e-05,6.818,12.589,35.686,42.802,68.888,1240.7,-0.030248,235.91,0.19908,liquid
300.0,1582.9,27316.0,3.6608e-05,6.8101,12.605,35.647,42.818,68.871,1242.7,-0.030294,236.56,0.19944,liquid
300.0,1590.2,27334.0,3.6585e-05,6.8022,12.62,35.608,42.833,68.854,1244.7,-0.030339,237.21,0.1998,liquid
300.0,1597.6,27351.0,3.6562e-05,6.7944,12.635,35.57,42.848,68.838,1246.7,-0.030384,237.86,0.20015,liquid
300.0,1604.9,27368.0,3.6539e-05,6.7866,12.651,35.532,42.864,68.821,1248.6,-0.030429,238.51,0.20051,liquid
300.0,1612.3,27385.0,3.6516e-05,6.7788,12.666,35.494,42.879,68.805,1250.6,-0.030473,239.15,0.20086,liquid
300.0,1619.6,27403.0,3.6493e-05,6.7711,12.682,35.456,42.894,68.789,1252.6,-0.030516,239.8,0.20122,liquid
300.0,1627.0,27420.0,3.647e-05,6.7634,12.697,35.418,42.91,68.773,1254.5,-0.030559,240.45,0.20157,liquid
300.0,1634.3,27437.0,3.6448e-05,6.7558,12.713,35.38,42.925,68.758,1256.4,-0.030602,241.1,0.20192,liquid
300.0,1641.7,27454.0,3.6425e-05,6.7481,12.728,35.342,42.94,68.742,1258.4,-0.030644,241.74,0.20227,liquid
300.0,1649.0,27470.0,3.6403e-05,6.7405,12.743,35.305,42.955,68.727,1260.3,-0.030686,242.39,0.20263,liquid
300.0,1656.4,27487.0,3.6381e-05,6.733,12.759,35.267,42.971,68.712,1262.2,-0.030728,243.03,0.20298,liquid
300.0,1663.7,27504.0,3.6359e-05,6.7255,12.775,35.23,42.986,68.697,1264.1,-0.030769,243.68,0.20333,liquid
300.0,1671.1,27521.0,3.6336e-05,6.718,12.79,35.193,43.001,68.682,1266.1,-0.030809,244.33,0.20368,liquid
300.0,1678.4,27537.0,3.6315e-05,6.7105,12.806,35.156,43.017,68.667,1268.0,-0.03085,244.97,0.20403,liquid
300.0,1685.8,27554.0,3.6293e-05,6.7031,12.821,35.119,43.032,68.653,1269.9,-0.030889,245.62,0.20438,liquid
300.0,1693.1,27570.0,3.6271e-05,6.6957,12.837,35.082,43.047,68.639,1271.8,-0.030929,246.26,0.20473,liquid
300.0,1700.5,27587.0,3.6249e-05,6.6883,12.852,35.045,43.062,68.624,1273.6,-0.030968,246.91,0.20507,liquid
300.0,1707.8,27603.0,3.6228e-05,6.6809,12.868,35.008,43.078,68.61,1275.5,-0.031007,247.55,0.20542,liquid
300.0,1715.2,27619.0,3.6207e-05,6.6736,12.884,34.972,43.093,68.597,1277.4,-0.031045,248.2,0.20577,liquid
300.0,1722.5,27636.0,3.6185e-05,6.6664,12.899,34.935,43.108,68.583,1279.3,-0.031083,248.84,0.20611,liquid
300.0,1729.9,27652.0,3.6164e-05,6.6591,12.915,34.899,43.123,68.569,1281.1,-0.031121,249.48,0.20646,liquid
300.0,1737.2,27668.0,3.6143e-05,6.6519,12.931,34.862,43.138,68.556,1283.0,-0.031158,250.13,0.20681,liquid
300.0,1744.6,27684.0,3.6122e-05,6.6447,12.946,34.826,43.154,68.543,1284.8,-0.031195,250.77,0.20715,liquid
300.0,1751.9,27700.0,3.6101e-05,6.6375,12.962,34.79,43.169,68.53,1286.7,-0.031231,251.42,0.2075,liquid
300.0,1759.3,27716.0,3.608e-05,6.6304,12.978,34.754,43.184,68.517,1288.5,-0.031267,252.06,0.20784,liquid
300.0,1766.6,27732.0,3.6059e-05,6.6233,12.994,34.718,43.199,68.504,1290.3,-0.031303,252.7,0.20818,liquid
300.0,1773.9,27748.0,3.6039e-05,6.6162,13.009,34.683,43.215,68.491,1292.2,-0.031339,253.35,0.20853,liquid
300.0,1781.3,27764.0,3.6018e-05,6.6092,13.025,34.647,43.23,68.479,1294.0,-0.031374,253.99,0.20887,liquid
300.0,1788.6,27779.0,3.5998e-05,6.6022,13.041,34.612,43.245,68.466,1295.8,-0.031409,254.63,0.20921,liquid
300.0,1796.0,27795.0,3.5977e-05,6.5952,13.057,34.576,43.26,68.454,1297.6,-0.031443,255.27,0.20955,liquid
300.0,1803.3,27811.0,3.5957e-05,6.5882,13.073,34.541,43.275,68.442,1299.4,-0.031477,255.92,0.2099,liquid
300.0,1810.7,27826.0,3.5937e-05,6.5813,13.088,34.505,43.29,68.43,1301.2,-0.031511,256.56,0.21024,liquid
300.0,1818.0,27842.0,3.5917e-05,6.5744,13.104,34.47,43.306,68.418,1303.0,-0.031545,257.2,0.21058,liquid
300.0,1825.4,27858.0,3.5897e-05,6.5675,13.12,34.435,43.321,68.406,1304.8,-0.031578,257.84,0.21092,liquid
300.0,1832.7,27873.0,3.5877e-05,6.5607,13.136,34.4,43.336,68.395,1306.6,-0.031611,258.49,0.21126,liquid
300.0,1840.1,27888.0,3.5857e-05,6.5538,13.152,34.365,43.351,68.383,1308.4,-0.031643,259.13,0.2116,liquid
300.0,1847.4,27904.0,3.5837e-05,6.547,13.168,34.331,43.366,68.372,1310.2,-0.031676,259.77,0.21194,liquid
300.0,1854.8,27919.0,3.5818e-05,6.5403,13.184,34.296,43.381,68.361,1311.9,-0.031708,260.41,0.21227,liquid
300.0,1862.1,27934.0,3.5798e-05,6.5335,13.2,34.261,43.396,68.35,1313.7,-0.031739,261.05,0.21261,liquid
300.0,1869.5,27950.0,3.5779e-05,6.5268,13.216,34.227,43.412,68.339,1315.5,-0.031771,261.69,0.21295,liquid
300.0,1876.8,27965.0,3.5759e-05,6.5201,13.232,34.192,43.427,68.328,1317.2,-0.031802,262.33,0.21329,liquid
300.0,1884.2,27980.0,3.574e-05,6.5135,13.248,34.158,43.442,68.317,1319.0,-0.031833,262.98,0.21362,liquid
300.0,1891.5,27995.0,3.5721e-05,6.5068,13.264,34.124,43.457,68.307,1320.7,-0.031863,263.62,0.21396,liquid
300.0,1898.9,28010.0,3.5702e-05,6.5002,13.28,34.09,43.472,68.296,1322.5,-0.031894,264.26,0.2143,liquid
300.0,1906.2,28025.0,3.5683e-05,6.4936,13.296,34.056,43.487,68.286,1324.2,-0.031924,264.9,0.21463,liquid
300.0,1913.6,28040.0,3.5664e-05,6.4871,13.312,34.022,43.502,68.275,1325.9,-0.031953,265.54,0.21497,liquid
300.0,1920.9,28055.0,3.5645e-05,6.4805,13.328,33.988,43.517,68.265,1327.6,-0.031983,266.18,0.2153,liquid
300.0,1928.3,28070.0,3.5626e-05,6.474,13.344,33.954,43.532,68.255,1329.4,-0.032012,266.82,0.21564,liquid
300.0,1935.6,28084.0,3.5607e-05,6.4676,13.36,33.92,43.547,68.245,1331.1,-0.032041,267.46,0.21597,liquid
300.0,1943.0,28099.0,3.5588e-05,6.4611,13.376,33.887,43.562,68.235,1332.8,-0.03207,268.1,0.2163,liquid
300.0,1950.3,28114.0,3.557e-05,6.4547,13.392,33.853,43.577,68.226,1334.5,-0.032098,268.74,0.21664,liquid
300.0,1957.7,28128.0,3.5551e-05,6.4482,13.408,33.82,43.592,68.216,1336.2,-0.032126,269.38,0.21697,liquid
300.0,1965.0,28143.0,3.5533e-05,6.4419,13.424,33.786,43.607,68.207,1337.9,-0.032154,270.02,0.2173,liquid
300.0,1972.4,28158.0,3.5514e-05,6.4355,13.44,33.753,43.622,68.197,1339.6,-0.032182,270.66,0.21763,liquid
300.0,1979.7,28172.0,3.5496e-05,6.4292,13.456,33.72,43.637,68.188,1341.3,-0.032209,271.3,0.21796,liquid
300.0,1987.1,28187.0,3.5478e-05,6.4228,13.472,33.687,43.652,68.179,1343.0,-0.032236,271.94,0.2183,liquid
300.0,1994.4,28201.0,3.546e-05,6.4165,13.489,33.654,43.667,68.17,1344.6,-0.032263,272.58,0.21863,liquid
300.0,2001.7,28215.0,3.5442e-05,6.4103,13.505,33.621,43.682,68.161,1346.3,-0.03229,273.22,0.21896,liquid
300.0,2009.1,28230.0,3.5424e-05,6.404,13.521,33.588,43.697,68.152,1348.0,-0.032316,273.86,0.21929,liquid
300.0,2016.4,28244.0,3.5406e-05,6.3978,13.537,33.555,43.712,68.143,1349.6,-0.032342,274.5,0.21962,liquid
300.0,2023.8,28258.0,3.5388e-05,6.3916,13.553,33.523,43.727,68.134,1351.3,-0.032368,275.14,0.21995,liquid
300.0,2031.1,28273.0,3.537e-05,6.3854,13.57,33.49,43.742,68.126,1353.0,-0.032394,275.78,0.22027,liquid
300.0,2038.5,28287.0,3.5352e-05,6.3793,13.586,33.457,43.757,68.117,1354.6,-0.03242,276.41,0.2206,liquid
300.0,2045.8,28301.0,3.5335e-05,6.3732,13.602,33.425,43.772,68.109,1356.3,-0.032445,277.05,0.22093,liquid
300.0,2053.2,28315.0,3.5317e-05,6.367,13.618,33.393,43.787,68.101,1357.9,-0.03247,277.69,0.22126,liquid
300.0,2060.5,28329.0,3.5299e-05,6.361,13.635,33.36,43.802,68.093,1359.5,-0.032495,278.33,0.22159,liquid
300.0,2067.9,28343.0,3.5282e-05,6.3549,13.651,33.328,43.817,68.084,1361.2,-0.032519,278.97,0.22191,liquid
300.0,2075.2,28357.0,3.5265e-05,6.3489,13.667,33.296,43.832,68.076,1362.8,-0.032544,279.61,0.22224,liquid
300.0,2082.6,28371.0,3.5247e-05,6.3428,13.683,33.264,43.847,68.068,1364.4,-0.032568,280.25,0.22257,liquid
300.0,2089.9,28385.0,3.523e-05,6.3368,13.7,33.232,43.862,68.061,1366.1,-0.032592,280.89,0.22289,liquid
300.0,2097.3,28399.0,3.5213e-05,6.3309,13.716,33.2,43.877,68.053,1367.7,-0.032616,281.53,0.22322,liquid
300.0,2104.6,28413.0,3.5196e-05,6.3249,13.732,33.168,43.892,68.045,1369.3,-0.032639,282.16,0.22355,liquid
300.0,2112.0,28426.0,3.5179e-05,6.319,13.749,33.136,43.906,68.038,1370.9,-0.032663,282.8,0.22387,liquid
300.0,2119.3,28440.0,3.5162e-05,6.3131,13.765,33.105,43.921,68.03,1372.5,-0.032686,283.44,0.2242,liquid
300.0,2126.7,28454.0,3.5145e-05,6.3072,13.781,33.073,43.936,68.023,1374.1,-0.032709,284.08,0.22452,liquid
300.0,2134.0,28468.0,3.5128e-05,6.3013,13.798,33.041,43.951,68.015,1375.7,-0.032731,284.72,0.22484,liquid
300.0,2141.4,28481.0,3.5111e-05,6.2955,13.814,33.01,43.966,68.008,1377.3,-0.032754,285.36,0.22517,liquid
300.0,2148.7,28495.0,3.5094e-05,6.2896,13.83,32.978,43.981,68.001,1378.9,-0.032776,285.99,0.22549,liquid
300.0,2156.1,28508.0,3.5077e-05,6.2838,13.847,32.947,43.996,67.994,1380.5,-0.032798,286.63,0.22581,liquid
300.0,2163.4,28522.0,3.5061e-05,6.278,13.863,32.916,44.01,67.987,1382.0,-0.03282,287.27,0.22614,liquid
300.0,2170.8,28535.0,3.5044e-05,6.2723,13.88,32.885,44.025,67.98,1383.6,-0.032842,287.91,0.22646,liquid
300.0,2178.1,28549.0,3.5028e-05,6.2665,13.896,32.854,44.04,67.973,1385.2,-0.032864,288.55,0.22678,liquid
300.0,2185.5,28562.0,3.5011e-05,6.2608,13.912,32.823,44.055,67.966,1386.8,-0.032885,289.18,0.2271,liquid
300.0,2192.8,28576.0,3.4995e-05,6.2551,13.929,32.792,44.07,67.96,1388.3,-0.032906,289.82,0.22743,liquid
300.0,2200.2,28589.0,3.4979e-05,6.2494,13.945,32.761,44.084,67.953,1389.9,-0.032927,290.46,0.22775,liquid
300.0,2207.5,28602.0,3.4962e-05,6.2437,13.962,32.73,44.099,67.947,1391.4,-0.032948,291.1,0.22807,liquid
300.0,2214.8,28616.0,3.4946e-05,6.2381,13.978,32.699,44.114,67.94,1393.0,-0.032969,291.74,0.22839,liquid
300.0,2222.2,28629.0,3.493e-05,6.2325,13.995,32.668,44.129,67.934,1394.5,-0.032989,292.37,0.22871,liquid
300.0,2229.5,28642.0,3.4914e-05,6.2269,14.011,32.638,44.144,67.928,1396.1,-0.03301,293.01,0.22903,liquid
300.0,2236.9,28655.0,3.4898e-05,6.2213,14.028,32.607,44.158,67.921,1397.6,-0.03303,293.65,0.22935,liquid
300.0,2244.2,28668.0,3.4882e-05,6.2157,14.044,32.577,44.173,67.915,1399.2,-0.03305,294.29,0.22967,liquid
300.0,2251.6,28681.0,3.4866e-05,6.2102,14.061,32.546,44.188,67.909,1400.7,-0.03307,294.93,0.22999,liquid
300.0,2258.9,28694.0,3.485e-05,6.2046,14.077,32.516,44.202,67.903,1402.2,-0.033089,295.56,0.23031,liquid
300.0,2266.3,28707.0,3.4834e-05,6.1991,14.094,32.486,44.217,67.897,1403.8,-0.033109,296.2,0.23062,liquid
300.0,2273.6,28720.0,3.4818e-05,6.1936,14.11,32.455,44.232,67.891,1405.3,-0.033128,296.84,0.23094,liquid
300.0,2281.0,28733.0,3.4803e-05,6.1882,14.127,32.425,44.247,67.886,1406.8,-0.033147,297.48,0.23126,liquid
300.0,2288.3,28746.0,3.4787e-05,6.1827,14.143,32.395,44.261,67.88,1408.3,-0.033166,298.11,0.23158,liquid
300.0,2295.7,28759.0,3.4771e-05,6.1773,14.16,32.365,44.276,67.874,1409.8,-0.033185,298.75,0.2319,liquid
300.0,2303.0,28772.0,3.4756e-05,6.1719,14.176,32.335,44.291,67.869,1411.3,-0.033203,299.39,0.23221,liquid
300.0,2310.4,28785.0,3.474e-05,6.1665,14.193,32.305,44.305,67.863,1412.9,-0.033222,300.03,0.23253,liquid
300.0,2317.7,28798.0,3.4725e-05,6.1611,14.209,32.275,44.32,67.858,1414.4,-0.03324,300.67,0.23285,liquid
300.0,2325.1,28810.0,3.471e-05,6.1557,14.226,32.246,44.335,67.852,1415.9,-0.033258,301.3,0.23316,liquid
300.0,2332.4,28823.0,3.4694e-05,6.1504,14.243,32.216,44.349,67.847,1417.3,-0.033276,301.94,0.23348,liquid
300.0,2339.8,28836.0,3.4679e-05,6.1451,14.259,32.186,44.364,67.842,1418.8,-0.033294,302.58,0.23379,liquid
300.0,2347.1,28849.0,3.4664e-05,6.1397,14.276,32.157,44.378,67.837,1420.3,-0.033312,303.22,0.23411,liquid
300.0,2354.5,28861.0,3.4649e-05,6.1345,14.292,32.127,44.393,67.831,1421.8,-0.03333,303.85,0.23443,liquid
300.0,2361.8,28874.0,3.4633e-05,6.1292,14.309,32.098,44.408,67.826,1423.3,-0.033347,304.49,0.23474,liquid
300.0,2369.2,28886.0,3.4618e-05,6.1239,14.326,32.068,44.422,67.821,1424.8,-0.033364,305.13,0.23505,liquid
300.0,2376.5,28899.0,3.4603e-05,6.1187,14.342,32.039,44.437,67.816,1426.2,-0.033381,305.77,0.23537,liquid
300.0,2383.9,28911.0,3.4588e-05,6.1135,14.359,32.01,44.451,67.812,1427.7,-0.033398,306.4,0.23568,liquid
300.0,2391.2,28924.0,3.4573e-05,6.1083,14.376,31.98,44.466,67.807,1429.2,-0.033415,307.04,0.236,liquid
300.0,2398.6,28936.0,3.4559e-05,6.1031,14.392,31.951,44.481,67.802,1430.7,-0.033432,307.68,0.23631,liquid
300.0,2405.9,28949.0,3.4544e-05,6.0979,14.409,31.922,44.495,67.797,1432.1,-0.033448,308.32,0.23662,liquid
300.0,2413.3,28961.0,3.4529e-05,6.0928,14.425,31.893,44.51,67.793,1433.6,-0.033465,308.96,0.23694,liquid
300.0,2420.6,28974.0,3.4514e-05,6.0876,14.442,31.864,44.524,67.788,1435.0,-0.033481,309.59,0.23725,liquid
300.0,2428.0,28986.0,3.45e-05,6.0825,14.459,31.835,44.539,67.784,1436.5,-0.033497,310.23,0.23756,liquid
300.0,2435.3,28998.0,3.4485e-05,6.0774,14.476,31.806,44.553,67.779,1437.9,-0.033513,310.87,0.23787,liquid
300.0,2442.6,29010.0,3.447e-05,6.0723,14.492,31.778,44.568,67.775,1439.4,-0.033529,311.51,0.23819,liquid
300.0,2450.0,29023.0,3.4456e-05,6.0673,14.509,31.749,44.582,67.77,1440.8,-0.033545,312.14,0.2385,liquid
300.0,2457.3,29035.0,3.4441e-05,6.0622,14.526,31.72,44.597,67.766,1442.2,-0.03356,312.78,0.23881,liquid
300.0,2464.7,29047.0,3.4427e-05,6.0572,14.542,31.692,44.611,67.762,1443.7,-0.033576,313.42,0.23912,liquid
300.0,2472.0,29059.0,3.4412e-05,6.0522,14.559,31.663,44.626,67.758,1445.1,-0.033591,314.06,0.23943,liquid
300.0,2479.4,29071.0,3.4398e-05,6.0472,14.576,31.634,44.64,67.754,1446.5,-0.033606,314.7,0.23974,liquid
300.0,2486.7,29083.0,3.4384e-05,6.0422,14.593,31.606,44.655,67.75,1448.0,-0.033621,315.33,0.24005,liquid
300.0,2494.1,29096.0,3.437e-05,6.0372,14.609,31.578,44.669,67.746,1449.4,-0.033636,315.97,0.24036,liquid
300.0,2501.4,29108.0,3.4355e-05,6.0323,14.626,31.549,44.684,67.742,1450.8,-0.033651,316.61,0.24067,liquid
300.0,2508.8,29120.0,3.4341e-05,6.0273,14.643,31.521,44.698,67.738,1452.2,-0.033666,317.25,0.24098,liquid
300.0,2516.1,29132.0,3.4327e-05,6.0224,14.66,31.493,44.712,67.734,1453.6,-0.033681,317.88,0.24129,liquid
300.0,2523.5,29143.0,3.4313e-05,6.0175,14.676,31.465,44.727,67.73,1455.0,-0.033695,318.52,0.2416,liquid
300.0,2530.8,29155.0,3.4299e-05,6.0126,14.693,31.436,44.741,67.726,1456.5,-0.033709,319.16,0.24191,liquid
300.0,2538.2,29167.0,3.4285e-05,6.0078,14.71,31.408,44.756,67.723,1457.9,-0.033724,319.8,0.24222,liquid
300.0,2545.5,29179.0,3.4271e-05,6.0029,14.727,31.38,44.77,67.719,1459.3,-0.033738,320.44,0.24253,liquid
300.0,2552.9,29191.0,3.4257e-05,5.9981,14.743,31.352,44.784,67.715,1460.7,-0.033752,321.08,0.24284,liquid
300.0,2560.2,29203.0,3.4243e-05,5.9932,14.76,31.324,44.799,67.712,1462.1,-0.033766,321.71,0.24315,liquid
300.0,2567.6,29215.0,3.4229e-05,5.9884,14.777,31.297,44.813,67.708,1463.4,-0.033779,322.35,0.24345,liquid
300.0,2574.9,29226.0,3.4216e-05,5.9836,14.794,31.269,44.827,67.705,1464.8,-0.033793,322.99,0.24376,liquid
300.0,2582.3,29238.0,3.4202e-05,5.9788,14.811,31.241,44.842,67.702,1466.2,-0.033806,323.63,0.24407,liquid
300.0,2589.6,29250.0,3.4188e-05,5.9741,14.827,31.213,44.856,67.698,1467.6,-0.03382,324.27,0.24438,liquid
300.0,2597.0,29262.0,3.4175e-05,5.9693,14.844,31.186,44.87,67.695,1469.0,-0.033833,324.9,0.24468,liquid
300.0,2604.3,29273.0,3.4161e-05,5.9646,14.861,31.158,44.885,67.692,1470.4,-0.033846,325.54,0.24499,liquid
300.0,2611.7,29285.0,3.4147e-05,5.9599,14.878,31.131,44.899,67.688,1471.7,-0.033859,326.18,0.2453,liquid
300.0,2619.0,29296.0,3.4134e-05,5.9552,14.895,31.103,44.913,67.685,1473.1,-0.033872,326.82,0.2456,liquid
300.0,2626.4,29308.0,3.412e-05,5.9505,14.912,31.076,44.928,67.682,1474.5,-0.033885,327.46,0.24591,liquid
300.0,2633.7,29320.0,3.4107e-05,5.9458,14.929,31.048,44.942,67.679,1475.8,-0.033898,328.1,0.24621,liquid
300.0,2641.1,29331.0,3.4093e-05,5.9411,14.945,31.021,44.956,67.676,1477.2,-0.033911,328.74,0.24652,liquid
300.0,2648.4,29343.0,3.408e-05,5.9365,14.962,30.994,44.97,67.673,1478.6,-0.033923,329.37,0.24683,liquid
300.0,2655.7,29354.0,3.4067e-05,5.9319,14.979,30.967,44.985,67.67,1479.9,-0.033936,330.01,0.24713,liquid
300.0,2663.1,29366.0,3.4053e-05,5.9273,14.996,30.939,44.999,67.667,1481.3,-0.033948,330.65,0.24744,liquid
300.0,2670.4,29377.0,3.404e-05,5.9227,15.013,30.912,45.013,67.665,1482.6,-0.03396,331.29,0.24774,liquid
300.0,2677.8,29388.0,3.4027e-05,5.9181,15.03,30.885,45.027,67.662,1484.0,-0.033972,331.93,0.24805,liquid
300.0,2685.1,29400.0,3.4014e-05,5.9135,15.047,30.858,45.042,67.659,1485.3,-0.033984,332.57,0.24835,liquid
300.0,2692.5,29411.0,3.4001e-05,5.9089,15.064,30.831,45.056,67.656,1486.7,-0.033996,333.21,0.24865,liquid
300.0,2699.8,29422.0,3.3988e-05,5.9044,15.08,30.804,45.07,67.654,1488.0,-0.034008,333.85,0.24896,liquid
300.0,2707.2,29434.0,3.3975e-05,5.8999,15.097,30.777,45.084,67.651,1489.3,-0.03402,334.48,0.24926,liquid
300.0,2714.5,29445.0,3.3962e-05,5.8953,15.114,30.751,45.098,67.648,1490.7,-0.034031,335.12,0.24956,liquid
300.0,2721.9,29456.0,3.3949e-05,5.8908,15.131,30.724,45.113,67.646,1492.0,-0.034043,335.76,0.24987,liquid
300.0,2729.2,29468.0,3.3936e-05,5.8863,15.148,30.697,45.127,67.643,1493.3,-0.034054,336.4,0.25017,liquid
300.0,2736.6,29479.0,3.3923e-05,5.8819,15.165,30.67,45.141,67.641,1494.7,-0.034066,337.04,0.25047,liquid
300.0,2743.9,29490.0,3.391e-05,5.8774,15.182,30.644,45.155,67.639,1496.0,-0.034077,337.68,0.25078,liquid
300.0,2751.3,29501.0,3.3897e-05,5.873,15.199,30.617,45.169,67.636,1497.3,-0.034088,338.32,0.25108,liquid
300.0,2758.6,29512.0,3.3884e-05,5.8685,15.216,30.591,45.183,67.634,1498.6,-0.034099,338.96,0.25138,liquid
300.0,2766.0,29523.0,3.3871e-05,5.8641,15.233,30.564,45.197,67.632,1499.9,-0.03411,339.6,0.25168,liquid
300.0,2773.3,29534.0,3.3859e-05,5.8597,15.25,30.538,45.212,67.629,1501.3,-0.034121,340.24,0.25199,liquid
300.0,2780.7,29546.0,3.3846e-05,5.8553,15.267,30.511,45.226,67.627,1502.6,-0.034132,340.88,0.25229,liquid
300.0,2788.0,29557.0,3.3833e-05,5.8509,15.284,30.485,45.24,67.625,1503.9,-0.034142,341.52,0.25259,liquid
300.0,2795.4,29568.0,3.3821e-05,5.8466,15.301,30.459,45.254,67.623,1505.2,-0.034153,342.16,0.25289,liquid
300.0,2802.7,29579.0,3.3808e-05,5.8422,15.318,30.433,45.268,67.621,1506.5,-0.034163,342.8,0.25319,liquid
300.0,2810.1,29590.0,3.3796e-05,5.8379,15.335,30.406,45.282,67.619,1507.8,-0.034174,343.44,0.25349,liquid
300.0,2817.4,29601.0,3.3783e-05,5.8335,15.352,30.38,45.296,67.617,1509.1,-0.034184,344.08,0.25379,liquid
300.0,2824.8,29611.0,3.3771e-05,5.8292,15.369,30.354,45.31,67.615,1510.4,-0.034194,344.72,0.25409,liquid
300.0,2832.1,29622.0,3.3758e-05,5.8249,15.386,30.328,45.324,67.613,1511.7,-0.034205,345.36,0.25439,liquid
300.0,2839.5,29633.0,3.3746e-05,5.8206,15.403,30.302,45.338,67.611,1513.0,-0.034215,346.0,0.25469,liquid
300.0,2846.8,29644.0,3.3733e-05,5.8164,15.42,30.276,45.352,67.609,1514.3,-0.034225,346.64,0.25499,liquid
300.0,2854.2,29655.0,3.3721e-05,5.8121,15.437,30.25,45.366,67.607,1515.5,-0.034234,347.28,0.25529,liquid
300.0,2861.5,29666.0,3.3709e-05,5.8078,15.454,30.224,45.38,67.605,1516.8,-0.034244,347.92,0.25559,liquid
300.0,2868.9,29677.0,3.3697e-05,5.8036,15.471,30.198,45.394,67.604,1518.1,-0.034254,348.56,0.25589,liquid
300.0,2876.2,29687.0,3.3684e-05,5.7994,15.488,30.173,45.408,67.602,1519.4,-0.034264,349.2,0.25619,liquid
300.0,2883.5,29698.0,3.3672e-05,5.7952,15.505,30.147,45.422,67.6,1520.7,-0.034273,349.84,0.25649,liquid
300.0,2890.9,29709.0,3.366e-05,5.791,15.522,30.121,45.436,67.599,1521.9,-0.034283,350.48,0.25679,liquid
300.0,2898.2,29720.0,3.3648e-05,5.7868,15.539,30.095,45.45,67.597,1523.2,-0.034292,351.12,0.25709,liquid
300.0,2905.6,29730.0,3.3636e-05,5.7826,15.556,30.07,45.464,67.595,1524.5,-0.034301,351.76,0.25739,liquid
300.0,2912.9,29741.0,3.3624e-05,5.7785,15.573,30.044,45.478,67.594,1525.7,-0.034311,352.4,0.25769,liquid
300.0,2920.3,29752.0,3.3612e-05,5.7743,15.59,30.019,45.492,67.592,1527.0,-0.03432,353.04,0.25798,liquid
300.0,2927.6,29762.0,3.36e-05,5.7702,15.607,29.993,45.506,67.591,1528.3,-0.034329,353.68,0.25828,liquid
300.0,2935.0,29773.0,3.3588e-05,5.766,15.624,29.968,45.52,67.589,1529.5,-0.034338,354.32,0.25858,liquid
300.0,2942.3,29783.0,3.3576e-05,5.7619,15.641,29.942,45.534,67.588,1530.8,-0.034347,354.96,0.25888,liquid
300.0,2949.7,29794.0,3.3564e-05,5.7578,15.658,29.917,45.548,67.587,1532.0,-0.034356,355.6,0.25917,liquid
300.0,2957.0,29805.0,3.3552e-05,5.7538,15.675,29.892,45.561,67.585,1533.3,-0.034365,356.25,0.25947,liquid
300.0,2964.4,29815.0,3.354e-05,5.7497,15.692,29.866,45.575,67.584,1534.5,-0.034373,356.89,0.25977,liquid
300.0,2971.7,29826.0,3.3528e-05,5.7456,15.709,29.841,45.589,67.583,1535.8,-0.034382,357.53,0.26007,liquid
300.0,2979.1,29836.0,3.3516e-05,5.7416,15.726,29.816,45.603,67.581,1537.0,-0.034391,358.17,0.26036,liquid
300.0,2986.4,29847.0,3.3505e-05,5.7375,15.743,29.791,45.617,67.58,1538.3,-0.034399,358.81,0.26066,liquid
300.0,2993.8,29857.0,3.3493e-05,5.7335,15.761,29.766,45.631,67.579,1539.5,-0.034407,359.45,0.26096,liquid
