Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
841.1,3.0,42.968,0.023273,58.479,65.461,153.3,30.982,39.38,701.29,0.39128,31.327,0.07522,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.01359680928208847,0.4165866999999999
841.1,10.348,148.81,0.00672,58.393,65.347,142.9,31.127,39.733,699.97,0.39061,31.352,0.075753,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.04689992748368384,0.12028799999999999
841.1,17.697,255.51,0.0039138,58.307,65.233,138.34,31.274,40.094,698.65,0.38988,31.378,0.076297,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.08020757795503988,0.07005702
841.1,25.045,363.08,0.0027542,58.219,65.117,135.34,31.423,40.462,697.32,0.3891,31.407,0.076852,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.11351069615663525,0.04930018
841.1,32.393,471.55,0.0021207,58.132,65.001,133.1,31.573,40.838,695.98,0.38827,31.437,0.07742,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.14681381435823063,0.03796053
841.1,39.742,580.93,0.0017214,58.043,64.884,131.3,31.725,41.223,694.64,0.38739,31.469,0.077999,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.18012146482958666,0.03081306
841.1,47.09,691.24,0.0014467,57.954,64.767,129.78,31.878,41.615,693.29,0.38645,31.503,0.078591,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.21342458303118206,0.025895929999999998
841.1,54.438,802.5,0.0012461,57.864,64.648,128.47,32.033,42.016,691.94,0.38547,31.539,0.079196,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.2467277012327774,0.02230519
841.1,61.787,914.73,0.0010932,57.774,64.528,127.3,32.19,42.425,690.58,0.38444,31.577,0.079813,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.28003535170413346,0.019568279999999997
841.1,69.135,1028.0,0.0009728,57.683,64.408,126.26,32.347,42.842,689.22,0.38336,31.617,0.080444,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.31333846990572883,0.01741312
841.1,76.483,1142.2,0.00087551,57.591,64.287,125.31,32.507,43.269,687.86,0.38224,31.659,0.081089,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.3466415881073242,0.015671629
841.1,83.832,1257.5,0.00079525,57.498,64.165,124.44,32.668,43.704,686.5,0.38106,31.704,0.081747,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.3799492385786802,0.014234974999999999
841.1,91.18,1373.8,0.00072792,57.405,64.042,123.63,32.83,44.148,685.13,0.37983,31.75,0.08242,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.4132523567802756,0.013029767999999999
841.1,98.528,1491.2,0.00067061,57.311,63.919,122.87,32.993,44.601,683.77,0.37856,31.798,0.083108,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.446555474981871,0.012003918999999998
841.1,105.88,1609.7,0.00062125,57.217,63.794,122.16,33.158,45.063,682.4,0.37723,31.849,0.083812,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.47987672226250905,0.011120374999999998
841.1,113.23,1729.3,0.00057828,57.121,63.669,121.48,33.324,45.535,681.03,0.37586,31.901,0.08453,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.5131889050036259,0.010351212
841.1,120.57,1850.0,0.00054054,57.025,63.543,120.85,33.492,46.016,679.67,0.37444,31.956,0.085265,vapor,H2O,C7732185,water,647.0,220.64,17.9,0.0558659217877095,1.3,0.5464557650471356,0.009675666000000001
