Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
334.6,1.0,36.067,0.027726,20.882,23.655,124.96,30.502,38.952,283.16,0.8185,16.642,0.01947,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.013550135501355014,0.2938956
334.6,3.4583,125.79,0.0079498,20.827,23.576,114.48,30.666,39.458,281.83,0.81865,16.673,0.019597,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.046860433604336046,0.08426787999999999
334.6,5.9167,217.06,0.004607,20.77,23.496,109.84,30.832,39.986,280.51,0.81873,16.706,0.01973,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.0801720867208672,0.048834199999999994
334.6,8.375,309.95,0.0032263,20.713,23.415,106.78,31.001,40.536,279.17,0.81873,16.741,0.019869,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.11348238482384825,0.03419878
334.6,10.833,404.52,0.0024721,20.655,23.333,104.47,31.173,41.11,277.84,0.81865,16.778,0.020014,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.14678861788617886,0.02620426
334.6,13.292,500.84,0.0019967,20.596,23.25,102.59,31.348,41.71,276.49,0.81849,16.818,0.020166,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.18010840108401086,0.02116502
334.6,15.75,598.99,0.0016695,20.536,23.165,101.0,31.526,42.337,275.14,0.81823,16.861,0.020325,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.21341463414634146,0.0176967
334.6,18.208,699.05,0.0014305,20.474,23.079,99.606,31.707,42.993,273.78,0.81787,16.906,0.020491,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.24672086720867206,0.015163299999999998
334.6,20.667,801.1,0.0012483,20.412,22.992,98.364,31.892,43.68,272.42,0.8174,16.954,0.020666,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.2800406504065041,0.013231979999999999
334.6,23.125,905.25,0.0011047,20.349,22.904,97.237,32.081,44.4,271.05,0.81681,17.005,0.020849,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.3133468834688347,0.011709819999999998
334.6,25.583,1011.6,0.00098854,20.285,22.814,96.201,32.273,45.157,269.68,0.8161,17.06,0.021041,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.3466531165311653,0.010478524
334.6,28.042,1120.2,0.00089268,20.219,22.722,95.238,32.469,45.953,268.3,0.81526,17.118,0.021242,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.37997289972899734,0.009462407999999999
334.6,30.5,1231.3,0.00081217,20.152,22.63,94.335,32.669,46.79,266.92,0.81427,17.18,0.021454,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.41327913279132794,0.008609002
334.6,32.958,1344.9,0.00074357,20.084,22.535,93.482,32.873,47.673,265.53,0.81312,17.246,0.021678,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.44658536585365854,0.007881842
334.6,35.417,1461.1,0.00068441,20.015,22.439,92.67,33.082,48.605,264.13,0.81181,17.316,0.021914,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.47990514905149056,0.007254745999999999
334.6,37.875,1580.2,0.00063284,19.944,22.341,91.894,33.295,49.59,262.73,0.81031,17.391,0.022162,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.5132113821138211,0.0067081039999999995
334.6,40.333,1702.2,0.00058747,19.872,22.241,91.148,33.512,50.632,261.33,0.80861,17.471,0.022425,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.5465176151761517,0.0062271819999999995
334.6,42.792,1827.4,0.00054723,19.798,22.14,90.428,33.735,51.738,259.92,0.8067,17.556,0.022703,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.5798373983739837,0.0058006379999999995
334.6,45.25,1955.9,0.00051128,19.723,22.036,89.73,33.963,52.912,258.51,0.80456,17.647,0.022998,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.6131436314363143,0.005419568
334.6,47.708,2087.9,0.00047895,19.645,21.93,89.05,34.196,54.161,257.1,0.80217,17.745,0.023311,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.6464498644986449,0.00507687
334.6,50.167,2223.6,0.00044971,19.566,21.822,88.387,34.435,55.492,255.69,0.7995,17.849,0.023643,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.679769647696477,0.0047669259999999995
334.6,52.625,2363.4,0.00042313,19.486,21.712,87.737,34.68,56.914,254.27,0.79655,17.96,0.023997,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.7130758807588076,0.004485178
334.6,55.083,2507.3,0.00039883,19.403,21.6,87.098,34.931,58.435,252.86,0.79327,18.079,0.024375,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.7463821138211382,0.004227597999999999
334.6,57.542,2655.8,0.00037654,19.318,21.484,86.469,35.188,60.065,251.45,0.78965,18.207,0.024777,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.7797018970189702,0.003991324
334.6,60.0,2809.0,0.000356,19.23,21.366,85.847,35.453,61.816,250.05,0.78565,18.344,0.025208,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.8130081300813008,0.0037735999999999994
334.6,62.458,2967.4,0.00033699,19.141,21.245,85.232,35.724,63.701,248.65,0.78125,18.492,0.02567,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.8463143631436314,0.003572094
334.6,64.917,3131.3,0.00031935,19.048,21.122,84.62,36.004,65.734,247.26,0.7764,18.65,0.026165,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.8796341463414634,0.0033851099999999998
334.6,67.375,3301.2,0.00030292,18.954,20.994,84.012,36.291,67.933,245.88,0.77108,18.822,0.026697,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.1,0.912940379403794,0.0032109519999999996
