Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,substance,substance_id,substance_name,Tc,Pc,rhoc,Vmc,Tr,Pr,Vmr
365.02,1.0,33.033,0.030273,21.831,24.858,128.4,31.731,40.15,294.65,0.66185,18.052,0.021892,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.013550135501355014,0.3208938
365.02,3.4583,114.95,0.0086993,21.784,24.793,117.96,31.844,40.525,293.66,0.66147,18.085,0.022011,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.046860433604336046,0.09221257999999999
365.02,5.9167,197.91,0.0050529,21.737,24.726,113.36,31.958,40.912,292.68,0.66103,18.12,0.022134,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.0801720867208672,0.053560739999999996
365.02,8.375,281.92,0.0035471,21.689,24.66,110.34,32.074,41.311,291.69,0.66053,18.157,0.02226,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.11348238482384825,0.037599259999999995
365.02,10.833,367.03,0.0027245,21.641,24.592,108.07,32.191,41.722,290.71,0.65996,18.195,0.02239,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.14678861788617886,0.028879699999999998
365.02,13.292,453.26,0.0022062,21.592,24.524,106.23,32.309,42.146,289.74,0.65933,18.236,0.022525,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.18010840108401086,0.02338572
365.02,15.75,540.64,0.0018497,21.542,24.456,104.69,32.428,42.582,288.76,0.65862,18.278,0.022663,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.21341463414634146,0.019606819999999997
365.02,18.208,629.21,0.0015893,21.492,24.386,103.34,32.549,43.033,287.79,0.65784,18.322,0.022807,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.24672086720867206,0.01684658
365.02,20.667,718.98,0.0013909,21.442,24.316,102.15,32.671,43.498,286.83,0.65699,18.368,0.022954,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.2800406504065041,0.01474354
365.02,23.125,810.01,0.0012346,21.391,24.246,101.08,32.795,43.978,285.87,0.65605,18.416,0.023107,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.3133468834688347,0.01308676
365.02,25.583,902.32,0.0011083,21.339,24.174,100.09,32.919,44.473,284.91,0.65503,18.467,0.023265,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.3466531165311653,0.01174798
365.02,28.042,995.95,0.0010041,21.287,24.103,99.186,33.045,44.985,283.96,0.65393,18.519,0.023428,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.37997289972899734,0.010643459999999999
365.02,30.5,1090.9,0.00091664,21.234,24.03,98.341,33.173,45.513,283.01,0.65273,18.575,0.023596,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.41327913279132794,0.009716384
365.02,32.958,1187.3,0.00084222,21.181,23.956,97.549,33.302,46.059,282.07,0.65143,18.632,0.023771,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.44658536585365854,0.008927531999999998
365.02,35.417,1285.2,0.00077811,21.127,23.882,96.8,33.432,46.624,281.13,0.65004,18.693,0.023951,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.47990514905149056,0.008247966
365.02,37.875,1384.5,0.00072229,21.072,23.807,96.09,33.563,47.208,280.2,0.64854,18.756,0.024138,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.5132113821138211,0.007656273999999999
365.02,40.333,1485.3,0.00067326,21.016,23.732,95.414,33.696,47.812,279.28,0.64693,18.822,0.024332,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.5465176151761517,0.007136555999999999
365.02,42.792,1587.7,0.00062983,20.96,23.655,94.766,33.83,48.437,278.37,0.64521,18.891,0.024532,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.5798373983739837,0.006676197999999999
365.02,45.25,1691.8,0.0005911,20.903,23.578,94.143,33.965,49.084,277.46,0.64336,18.964,0.02474,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.6131436314363143,0.006265659999999999
365.02,47.708,1797.5,0.00055634,20.846,23.5,93.543,34.102,49.754,276.57,0.64139,19.039,0.024956,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.6464498644986449,0.005897204
365.02,50.167,1904.9,0.00052497,20.788,23.421,92.963,34.24,50.448,275.68,0.6393,19.119,0.025179,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.679769647696477,0.005564682
365.02,52.625,2014.1,0.00049651,20.729,23.342,92.401,34.379,51.167,274.81,0.63706,19.202,0.025411,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.7130758807588076,0.005263006
365.02,55.083,2125.1,0.00047058,20.669,23.261,91.855,34.52,51.911,273.94,0.63469,19.289,0.025652,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.7463821138211382,0.0049881479999999995
365.02,57.542,2237.9,0.00044684,20.608,23.18,91.323,34.661,52.683,273.09,0.63217,19.379,0.025902,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.7797018970189702,0.004736504
365.02,60.0,2352.8,0.00042503,20.547,23.097,90.804,34.804,53.483,272.26,0.62949,19.475,0.026161,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.8130081300813008,0.0045053179999999995
365.02,62.458,2469.6,0.00040493,20.485,23.014,90.296,34.949,54.312,271.44,0.62666,19.574,0.026431,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.8463143631436314,0.004292258
365.02,64.917,2588.4,0.00038634,20.422,22.93,89.8,35.094,55.172,270.63,0.62366,19.679,0.026711,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.8796341463414634,0.004095204
365.02,67.375,2709.4,0.00036909,20.358,22.845,89.312,35.24,56.064,269.85,0.62049,19.788,0.027003,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.912940379403794,0.003912354
365.02,69.833,2832.5,0.00035304,20.293,22.759,88.834,35.388,56.989,269.08,0.61714,19.903,0.027305,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.9462466124661246,0.0037422239999999997
365.02,72.292,2957.9,0.00033808,20.228,22.672,88.363,35.536,57.947,268.33,0.61361,20.023,0.02762,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,0.9795663956639566,0.0035836479999999996
365.02,74.75,3085.6,0.00032409,20.161,22.584,87.899,35.686,58.942,267.61,0.60989,20.149,0.027948,vapor,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.0128726287262872,0.003435354
365.02,74.75,3085.6,0.00032409,20.161,22.584,87.899,35.686,58.942,267.61,0.60989,20.149,0.027948,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.0128726287262872,0.003435354
365.02,74.75,3085.6,0.00032409,20.161,22.584,87.899,35.686,58.942,267.61,0.60989,20.149,0.027948,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.0128726287262872,0.003435354
365.02,77.208,3215.6,0.00031099,20.094,22.495,87.442,35.836,59.973,266.91,0.60597,20.281,0.028289,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.0461788617886179,0.0032964939999999996
365.02,79.667,3348.0,0.00029868,20.026,22.405,86.99,35.987,61.042,266.24,0.60185,20.419,0.028643,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.0794986449864499,0.0031660079999999997
365.02,82.125,3482.9,0.00028711,19.957,22.314,86.544,36.138,62.15,265.59,0.59753,20.564,0.029012,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.1128048780487805,0.0030433659999999996
365.02,84.583,3620.4,0.00027621,19.886,22.223,86.103,36.291,63.298,264.98,0.59299,20.716,0.029395,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.146111111111111,0.0029278259999999997
365.02,87.042,3760.5,0.00026592,19.815,22.13,85.667,36.443,64.488,264.4,0.58823,20.876,0.029793,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.179430894308943,0.002818752
365.02,89.5,3903.2,0.0002562,19.743,22.036,85.234,36.596,65.719,263.85,0.58324,21.043,0.030208,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.2127371273712737,0.0027157199999999996
365.02,91.958,4048.7,0.00024699,19.67,21.941,84.805,36.749,66.992,263.35,0.57803,21.219,0.030638,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.2460433604336043,0.0026180939999999996
365.02,94.417,4196.9,0.00023827,19.596,21.846,84.38,36.902,68.309,262.88,0.57259,21.403,0.031085,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.2793631436314363,0.0025256619999999997
365.02,96.875,4347.9,0.00022999,19.521,21.749,83.957,37.055,69.67,262.46,0.56691,21.596,0.03155,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.312669376693767,0.002437894
365.02,99.333,4501.8,0.00022213,19.445,21.652,83.538,37.207,71.074,262.08,0.56099,21.799,0.032032,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.3459756097560975,0.0023545779999999995
365.02,101.79,4658.6,0.00021465,19.368,21.553,83.121,37.359,72.52,261.75,0.55483,22.011,0.032531,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.379268292682927,0.00227529
365.02,104.25,4818.4,0.00020754,19.29,21.454,82.707,37.509,74.009,261.48,0.54842,22.234,0.033048,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.4126016260162602,0.002199924
365.02,106.71,4981.0,0.00020076,19.211,21.354,82.295,37.659,75.539,261.27,0.54177,22.467,0.033584,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.4459349593495934,0.0021280559999999997
365.02,109.17,5146.7,0.0001943,19.132,21.253,81.885,37.807,77.109,261.11,0.53487,22.712,0.034137,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.4792682926829268,0.00205958
365.02,111.63,5315.2,0.00018814,19.051,21.151,81.477,37.953,78.715,261.03,0.52773,22.969,0.034709,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.5126016260162602,0.001994284
365.02,114.08,5486.7,0.00018226,18.969,21.048,81.072,38.097,80.355,261.01,0.52034,23.237,0.035298,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.54579945799458,0.0019319559999999999
365.02,116.54,5661.1,0.00017664,18.887,20.945,80.669,38.239,82.025,261.06,0.51272,23.518,0.035904,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.5791327913279134,0.0018723839999999997
365.02,119.0,5838.3,0.00017128,18.803,20.842,80.268,38.378,83.72,261.2,0.50486,23.813,0.036528,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.6124661246612466,0.0018155679999999998
365.02,121.46,6018.3,0.00016616,18.719,20.738,79.869,38.514,85.435,261.41,0.49678,24.12,0.037167,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.6457994579945798,0.0017612959999999999
365.02,123.92,6200.9,0.00016127,18.635,20.633,79.472,38.646,87.163,261.71,0.48847,24.441,0.037822,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.6791327913279133,0.001709462
365.02,126.38,6386.1,0.00015659,18.549,20.528,79.078,38.774,88.898,262.11,0.47996,24.777,0.038491,supercritical,CO2,C124389,carbon-dioxide,304.18,73.8,10.6,0.09433962264150944,1.2,1.7124661246612467,0.0016598539999999997
