Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Z
711.7,420.0,19518.0,5.1235e-05,39.625,41.777,84.076,53.982,218.73,508.16,0.21329,45.73,0.29146,supercritical,0.36367131334410596
711.7,430.0,20363.0,4.911e-05,39.221,41.333,83.382,53.715,211.97,517.68,0.19912,47.122,0.30148,supercritical,0.35688755479101847
711.7,440.0,21152.0,4.7277e-05,38.851,40.932,82.751,53.434,204.55,528.29,0.18604,48.446,0.31069,supercritical,0.3515568793480318
711.7,450.0,21885.0,4.5693e-05,38.514,40.57,82.178,53.153,196.81,539.72,0.17397,49.697,0.31912,supercritical,0.3475003134150532
711.7,460.0,22564.0,4.4319e-05,38.207,40.245,81.658,52.885,189.11,551.68,0.16292,50.871,0.32686,supercritical,0.34454091142145293
711.7,470.0,23191.0,4.312e-05,37.926,39.953,81.186,52.635,181.75,563.88,0.15285,51.971,0.334,supercritical,0.34250713587516857
711.7,480.0,23771.0,4.2068e-05,37.669,39.689,80.755,52.405,174.92,576.1,0.14374,53.002,0.34063,supercritical,0.3412605737653635
711.7,490.0,24309.0,4.1137e-05,37.433,39.449,80.359,52.196,168.71,588.17,0.13552,53.969,0.34682,supercritical,0.3406604460468281
711.7,500.0,24810.0,4.0306e-05,37.215,39.23,79.995,52.005,163.12,600.03,0.1281,54.88,0.35263,supercritical,0.3405906480328164
711.7,510.0,25278.0,3.9561e-05,37.012,39.03,79.658,51.83,158.1,611.62,0.12138,55.74,0.35812,supercritical,0.340981212706862
711.7,520.0,25716.0,3.8886e-05,36.824,38.846,79.343,51.67,153.58,622.96,0.11528,56.554,0.36332,supercritical,0.3417351326596602
711.7,530.0,26129.0,3.8272e-05,36.647,38.675,79.05,51.524,149.51,634.04,0.10971,57.328,0.36825,supercritical,0.3428072842356639
711.7,540.0,26518.0,3.771e-05,36.481,38.517,78.774,51.388,145.82,644.88,0.10461,58.066,0.37296,supercritical,0.3441464596909371
711.7,550.0,26887.0,3.7192e-05,36.324,38.37,78.515,51.263,142.45,655.5,0.099913,58.771,0.37745,supercritical,0.34570466232819336
711.7,560.0,27237.0,3.6715e-05,36.176,38.232,78.269,51.146,139.37,665.91,0.095571,59.446,0.38175,supercritical,0.3474758080590443
711.7,570.0,27570.0,3.6271e-05,36.036,38.103,78.037,51.038,136.54,676.12,0.091542,60.093,0.38587,supercritical,0.34940361906589706
711.7,580.0,27887.0,3.5859e-05,35.902,37.982,77.816,50.936,133.92,686.14,0.087792,60.716,0.38984,supercritical,0.3514950244494161
711.7,590.0,28190.0,3.5473e-05,35.775,37.868,77.605,50.841,131.49,695.98,0.084292,61.316,0.39365,supercritical,0.35370642157615134
711.7,600.0,28480.0,3.5112e-05,35.653,37.76,77.404,50.753,129.24,705.64,0.081015,61.895,0.39733,supercritical,0.35604085249029677
711.7,610.0,28758.0,3.4772e-05,35.537,37.658,77.212,50.669,127.13,715.13,0.077942,62.454,0.40089,supercritical,0.358469755776918
711.7,620.0,29025.0,3.4453e-05,35.426,37.562,77.028,50.591,125.17,724.46,0.075053,62.995,0.40432,supercritical,0.36100377859069455
711.7,630.0,29282.0,3.4151e-05,35.319,37.47,76.851,50.517,123.32,733.62,0.072332,63.519,0.40765,supercritical,0.36361097946758747
711.7,640.0,29529.0,3.3865e-05,35.216,37.383,76.681,50.447,121.6,742.62,0.069765,64.028,0.41088,supercritical,0.36628916137567863
711.7,650.0,29767.0,3.3594e-05,35.117,37.3,76.517,50.381,119.97,751.47,0.067339,64.522,0.41402,supercritical,0.36903545127322895
711.7,660.0,29997.0,3.3336e-05,35.021,37.222,76.359,50.319,118.44,760.17,0.065043,65.003,0.41707,supercritical,0.37183514594663325
711.7,670.0,30220.0,3.3091e-05,34.929,37.146,76.207,50.26,117.0,768.72,0.062868,65.471,0.42004,supercritical,0.37469483649164553
711.7,680.0,30435.0,3.2857e-05,34.84,37.074,76.06,50.205,115.64,777.12,0.060803,65.927,0.42294,supercritical,0.3775981296701082
711.7,690.0,30643.0,3.2634e-05,34.754,37.006,75.917,50.152,114.35,785.38,0.058841,66.371,0.42576,supercritical,0.3805506025630439
711.7,700.0,30845.0,3.242e-05,34.67,36.94,75.779,50.102,113.13,793.5,0.056975,66.805,0.42852,supercritical,0.3835341719077426
711.7,710.0,31042.0,3.2215e-05,34.589,36.877,75.645,50.054,111.97,801.49,0.055198,67.23,0.43122,supercritical,0.38655340077049577
711.7,720.0,31232.0,3.2018e-05,34.511,36.816,75.514,50.009,110.87,809.35,0.053503,67.644,0.43385,supercritical,0.38960068404081755
711.7,730.0,31417.0,3.1829e-05,34.434,36.758,75.388,49.966,109.82,817.08,0.051885,68.05,0.43644,supercritical,0.392680077777634
711.7,740.0,31598.0,3.1648e-05,34.36,36.702,75.265,49.925,108.83,824.69,0.050338,68.448,0.43896,supercritical,0.3957956380398703
711.7,750.0,31773.0,3.1473e-05,34.288,36.648,75.145,49.886,107.88,832.18,0.048859,68.838,0.44144,supercritical,0.39892607051816725
711.7,760.0,31944.0,3.1304e-05,34.217,36.597,75.028,49.848,106.97,839.56,0.047443,69.22,0.44388,supercritical,0.402074417256719
711.7,770.0,32111.0,3.1142e-05,34.149,36.547,74.914,49.813,106.11,846.82,0.046085,69.595,0.44627,supercritical,0.4052567334887728
711.7,780.0,32274.0,3.0984e-05,34.082,36.499,74.803,49.779,105.28,853.97,0.044783,69.963,0.44861,supercritical,0.4084370216913637
711.7,790.0,32433.0,3.0832e-05,34.017,36.452,74.695,49.747,104.49,861.02,0.043532,70.325,0.45092,supercritical,0.41164401228188163
711.7,800.0,32589.0,3.0685e-05,33.953,36.408,74.589,49.716,103.73,867.96,0.04233,70.68,0.45319,supercritical,0.414867227108102
711.7,810.0,32741.0,3.0543e-05,33.891,36.365,74.485,49.687,103.0,874.81,0.041174,71.03,0.45542,supercritical,0.4181092012068533
711.7,820.0,32890.0,3.0405e-05,33.83,36.323,74.384,49.658,102.3,881.56,0.040062,71.374,0.45762,supercritical,0.4213586114136349
711.7,830.0,33035.0,3.0271e-05,33.77,36.283,74.284,49.631,101.63,888.21,0.038989,71.713,0.45978,supercritical,0.4246174857579096
711.7,840.0,33178.0,3.0141e-05,33.712,36.244,74.187,49.606,100.98,894.78,0.037956,72.046,0.46191,supercritical,0.4278878522691402
711.7,850.0,33318.0,3.0014e-05,33.655,36.206,74.092,49.581,100.36,901.26,0.036958,72.375,0.46401,supercritical,0.43115737376809465
711.7,860.0,33455.0,2.9891e-05,33.599,36.169,73.999,49.557,99.757,907.65,0.035995,72.699,0.46609,supercritical,0.43444210548802004
